Customer ID,Age,Tenure (Months),Monthly Spend ($),Weekly Usage (Hrs),Support Tickets,Satisfaction (1-5),Churn Probability,Confidence Lower,Confidence Upper,Will Cancel,Risk Category,Recommended Offer,Action Description
1,56,45,713.0,8.1,1,7,0.54%,0.0%,1.98%,0,Low,Loyalty Reinforcement,"Why this customer is at risk: Customer exhibits stable engagement patterns, high satisfaction (7/10), and a healthy tenure (45 months).
Recommended action: Continue monitoring behavioral metrics; keep enrolled in standard newsletters without aggressive discounts.
Priority: Low
Expected impact: Maintained stable retention and baseline satisfaction.
Next step: Monitor metrics"
2,46,35,1162.31,11.3,2,4,1.82%,0.0%,4.44%,0,Low,Loyalty Reinforcement,"Why this customer is at risk: Customer exhibits stable engagement patterns, high satisfaction (4/10), and a healthy tenure (35 months).
Recommended action: Continue monitoring behavioral metrics; keep enrolled in standard newsletters without aggressive discounts.
Priority: Low
Expected impact: Maintained stable retention and baseline satisfaction.
Next step: Monitor metrics"
3,32,45,545.97,6.2,1,5,9.14%,3.49%,14.78%,0,Low,Loyalty Reinforcement,"Why this customer is at risk: Customer exhibits stable engagement patterns, high satisfaction (5/10), and a healthy tenure (45 months).
Recommended action: Continue monitoring behavioral metrics; keep enrolled in standard newsletters without aggressive discounts.
Priority: Low
Expected impact: Maintained stable retention and baseline satisfaction.
Next step: Monitor metrics"
4,60,26,609.55,4.6,4,6,14.43%,7.54%,21.32%,0,Low,Loyalty Reinforcement,"Why this customer is at risk: Customer exhibits stable engagement patterns, high satisfaction (6/10), and a healthy tenure (26 months).
Recommended action: Continue monitoring behavioral metrics; keep enrolled in standard newsletters without aggressive discounts.
Priority: Low
Expected impact: Maintained stable retention and baseline satisfaction.
Next step: Monitor metrics"
5,25,36,541.72,5.8,3,8,14.63%,7.71%,21.56%,0,Low,Loyalty Reinforcement,"Why this customer is at risk: Customer exhibits stable engagement patterns, high satisfaction (8/10), and a healthy tenure (36 months).
Recommended action: Continue monitoring behavioral metrics; keep enrolled in standard newsletters without aggressive discounts.
Priority: Low
Expected impact: Maintained stable retention and baseline satisfaction.
Next step: Monitor metrics"
6,38,3,884.09,1.7,6,3,99.77%,98.84%,100.0%,1,High,Plan Optimization,"Why this customer is at risk: Low usage (1.7 hrs/week) and high spend ($884.09) detected, indicating poor value-to-cost alignment.
Recommended action: Offer a discount or plan downgrade to align costs with actual usage.
Priority: High (Urgent)
Expected impact: Lowers price-to-value friction and builds long-term retention.
Next step: Offer plan optimization or discount"
7,56,26,487.59,13.4,6,6,19.73%,11.93%,27.53%,0,Low,Loyalty Reinforcement,"Why this customer is at risk: Customer exhibits stable engagement patterns, high satisfaction (6/10), and a healthy tenure (26 months).
Recommended action: Continue monitoring behavioral metrics; keep enrolled in standard newsletters without aggressive discounts.
Priority: Low
Expected impact: Maintained stable retention and baseline satisfaction.
Next step: Monitor metrics"
8,36,7,415.96,5.5,6,6,17.35%,9.93%,24.77%,0,Low,Loyalty Reinforcement,"Why this customer is at risk: Customer exhibits stable engagement patterns, high satisfaction (6/10), and a healthy tenure (7 months).
Recommended action: Continue monitoring behavioral metrics; keep enrolled in standard newsletters without aggressive discounts.
Priority: Low
Expected impact: Maintained stable retention and baseline satisfaction.
Next step: Monitor metrics"
9,40,23,105.23,11.8,4,2,6.27%,1.52%,11.03%,0,Low,Loyalty Reinforcement,"Why this customer is at risk: Customer exhibits stable engagement patterns, high satisfaction (2/10), and a healthy tenure (23 months).
Recommended action: Continue monitoring behavioral metrics; keep enrolled in standard newsletters without aggressive discounts.
Priority: Low
Expected impact: Maintained stable retention and baseline satisfaction.
Next step: Monitor metrics"
10,28,41,442.49,4.3,9,10,10.96%,4.83%,17.08%,0,Low,Loyalty Reinforcement,"Why this customer is at risk: Customer exhibits stable engagement patterns, high satisfaction (10/10), and a healthy tenure (41 months).
Recommended action: Continue monitoring behavioral metrics; keep enrolled in standard newsletters without aggressive discounts.
Priority: Low
Expected impact: Maintained stable retention and baseline satisfaction.
Next step: Monitor metrics"
11,28,19,662.25,6.1,3,2,88.78%,82.59%,94.96%,1,High,Plan Optimization,"Why this customer is at risk: Low usage (6.1 hrs/week) and high spend ($662.25) detected, indicating poor value-to-cost alignment.
Recommended action: Offer a discount or plan downgrade to align costs with actual usage.
Priority: High (Urgent)
Expected impact: Lowers price-to-value friction and builds long-term retention.
Next step: Offer plan optimization or discount"
12,41,13,275.3,8.2,7,1,35.1%,25.74%,44.45%,1,Medium,Plan Optimization,"Why this customer is at risk: Low usage (8.2 hrs/week) and high spend ($275.30) detected, indicating poor value-to-cost alignment.
Recommended action: Offer a discount or plan downgrade to align costs with actual usage.
Priority: Medium (Proactive)
Expected impact: Lowers price-to-value friction and builds long-term retention.
Next step: Offer plan optimization or discount"
13,53,23,668.94,9.9,3,3,92.52%,87.36%,97.67%,1,High,Plan Optimization,"Why this customer is at risk: Low usage (9.9 hrs/week) and high spend ($668.94) detected, indicating poor value-to-cost alignment.
Recommended action: Offer a discount or plan downgrade to align costs with actual usage.
Priority: High (Urgent)
Expected impact: Lowers price-to-value friction and builds long-term retention.
Next step: Offer plan optimization or discount"
14,57,1,789.4,7.8,4,5,24.66%,16.21%,33.11%,0,Low,Loyalty Reinforcement,"Why this customer is at risk: Customer exhibits stable engagement patterns, high satisfaction (5/10), and a healthy tenure (1 months).
Recommended action: Continue monitoring behavioral metrics; keep enrolled in standard newsletters without aggressive discounts.
Priority: Low
Expected impact: Maintained stable retention and baseline satisfaction.
Next step: Monitor metrics"
15,41,6,494.41,3.4,7,5,78.64%,70.61%,86.67%,1,High,Plan Optimization,"Why this customer is at risk: Low usage (3.4 hrs/week) and high spend ($494.41) detected, indicating poor value-to-cost alignment.
Recommended action: Offer a discount or plan downgrade to align costs with actual usage.
Priority: High (Urgent)
Expected impact: Lowers price-to-value friction and builds long-term retention.
Next step: Offer plan optimization or discount"
16,20,8,391.26,7.8,2,2,39.52%,29.94%,49.1%,1,Medium,Plan Optimization,"Why this customer is at risk: Low usage (7.8 hrs/week) and high spend ($391.26) detected, indicating poor value-to-cost alignment.
Recommended action: Offer a discount or plan downgrade to align costs with actual usage.
Priority: Medium (Proactive)
Expected impact: Lowers price-to-value friction and builds long-term retention.
Next step: Offer plan optimization or discount"
17,39,38,783.05,11.8,6,1,96.17%,92.41%,99.93%,1,High,High Touch Intervention,"Why this customer is at risk: Customer is experiencing severe friction with 6 support interactions and a low satisfaction score of 1/10.
Recommended action: Schedule a direct follow-up call from a senior customer success lead to address open tickets.
Priority: High (Urgent)
Expected impact: Resolves underlying support issues and restores trust.
Next step: Personal support outreach"
